Time	LH_RectusFemoris	LH_RectusFemoris	
4.58298	0.04590102	0.002869853	
4.58352	0.04590256	0.002862954	
4.58406	0.04590411	0.002869853	
4.5846	0.04590565	0.002849157	
4.58514	0.04590719	0.002849157	
4.58568	0.04590872	0.002842258	
4.58622	0.04591026	0.002842258	
4.58676	0.04591179	0.00283536	
4.5873	0.04591332	0.002828461	
4.58784	0.04591484	0.002821562	
4.58838	0.04591636	0.002821562	
4.58892	0.04591789	0.002821562	
4.58946	0.0459194	0.002807765	
4.59	0.04592092	0.002807765	
4.59054	0.04592243	0.002800866	
4.59108	0.04592394	0.002787069	
4.59162	0.04592545	0.002800866	
4.59216	0.04592695	0.00278017	
4.5927	0.04592845	0.002773271	
4.59324	0.04592995	0.002787069	
4.59378	0.04593145	0.002766373	
4.59432	0.04593294	0.002773271	
4.59486	0.04593443	0.002759474	
4.5954	0.04593592	0.002752575	
4.59594	0.04593741	0.002752575	
4.59648	0.04593889	0.002745677	
4.59702	0.04594037	0.002745677	
4.59756	0.04594185	0.002738778	
4.5981	0.04594333	0.002731879	
4.59864	0.0459448	0.002718082	
4.59918	0.04594627	0.002724981	
4.59972	0.04594773	0.002718082	
4.60026	0.0459492	0.002718082	
4.6008	0.04595066	0.002704285	
4.60134	0.04595212	0.002704285	
4.60188	0.04595358	0.002697386	
4.60242	0.04595504	0.002697386	
4.60296	0.04595648	0.002683589	
4.6035	0.04595793	0.002683589	
4.60404	0.04595938	0.00267669	
4.60458	0.04596082	0.00267669	
4.60512	0.04596227	0.002669791	
4.60566	0.0459637	0.002662892	
4.6062	0.04596514	0.002662892	
4.60674	0.04596658	0.002655994	
4.60728	0.045968	0.002642196	
4.60782	0.04596943	0.002649095	
4.60836	0.04597086	0.002635298	
4.6089	0.04597228	0.002642196	
4.60944	0.0459737	0.0026215	
4.60998	0.04597513	0.002642196	
4.61052	0.04597654	0.002614602	
4.61106	0.04597795	0.0026215	
4.6116	0.04597936	0.002600804	
4.61214	0.04598077	0.002607703	
4.61268	0.04598217	0.002607703	
4.61322	0.04598358	0.002593906	
4.61376	0.04598498	0.002600804	
4.6143	0.04598637	0.002580108	
4.61484	0.04598777	0.002580108	
4.61538	0.04598916	0.002587007	
4.61592	0.04599055	0.00257321	
4.61646	0.04599194	0.002566311	
4.617	0.04599332	0.002566311	
4.61754	0.0459947	0.002552513	
4.61808	0.04599608	0.002552513	
4.61862	0.04599746	0.002552513	
4.61916	0.04599883	0.002538716	
4.6197	0.0460002	0.002545615	
4.62024	0.04600157	0.002531817	
4.62078	0.04600294	0.002531817	
4.62132	0.04600431	0.002531817	
4.62186	0.04600567	0.00251802	
4.6224	0.04600703	0.00251802	
4.62294	0.04600838	0.002504223	
4.62348	0.04600974	0.002524919	
4.62402	0.04601109	0.002490425	
