TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
164	0.08856	0	0.37	0.455651	0	0.207578	0.854847	0	0	0.0846346	0.279025	0.292073	0.171775
165	0.0891	0	0.37	0.454152	0	0.2073	0.851869	0	0	0.0493388	0.27816	0.2907	0.169915
166	0.08964	0	0.37	0.452666	0	0.206998	0.848737	0	0	0.0131357	0.277192	0.289225	0.167802
167	0.09018	0	0.37	0.451197	0	0.206637	0.845417	0	0	0	0.276132	0.287654	0.165445
168	0.09072	0	0.37	0.449743	0	0.206183	0.841874	0	0	0	0.274993	0.286009	0.162926
169	0.09126	0	0.37	0.448298	0	0.205613	0.838094	0	0	0	0.273782	0.284294	0.160372
170	0.0918	0	0.37	0.446859	0	0.204927	0.834071	0	0	0	0.272511	0.282518	0.157828
171	0.09234	0	0.37	0.445421	0	0.204123	0.829815	0	0	0	0.271184	0.280692	0.155292
172	0.09288	0	0.37	0.443979	0	0.203209	0.825329	0	0	0	0.269804	0.278815	0.152764
173	0.09342	0	0.37	0.442531	0	0.202186	0.820618	0	0	0	0.268374	0.276894	0.150257
174	0.09396	0	0.37	0.441074	0	0.201056	0.815692	0	0	0	0.266903	0.274936	0.147774
175	0.0945	0	0.37	0.439605	0	0.199824	0.810555	0	0	0	0.265391	0.272946	0.145312
176	0.09504	0	0.37	0.438121	0	0.198493	0.805215	0	0	0	0.263846	0.270924	0.14288
177	0.09558	0	0.37	0.436622	0	0.197067	0.799678	0	0	0	0.262271	0.268875	0.14048
178	0.09612	0	0.37	0.435107	0	0.195547	0.793951	0	0	0	0.260666	0.266805	0.138115
179	0.09666	0	0.37	0.433573	0	0.193938	0.78804	0	0	0	0.259037	0.264717	0.135783
180	0.0972	0	0.37	0.432019	0	0.192243	0.781949	0	0	0	0.257386	0.262618	0.133492
181	0.09774	0	0.37	0.430446	0	0.190465	0.775683	0	0	0	0.25572	0.26051	0.131244
182	0.09828	0	0.37	0.428851	0	0.188608	0.769253	0	0	0	0.25404	0.258392	0.129035
183	0.09882	0	0.37	0.427237	0	0.186674	0.762666	0	0	0	0.25235	0.256271	0.126875
184	0.09936	0	0.37	0.425602	0	0.184667	0.755926	0	0	0	0.250649	0.254148	0.124765
185	0.0999	0	0.37	0.423947	0	0.18259	0.749033	0	0	0	0.248942	0.252028	0.1227
186	0.10044	0	0.37	0.422272	0	0.180446	0.742001	0	0	0	0.247234	0.249913	0.120682
187	0.10098	0	0.37	0.420577	0	0.17824	0.734836	0	0	0	0.245523	0.247802	0.118717
188	0.10152	0	0.37	0.418863	0	0.175975	0.727541	0	0	0	0.243812	0.245698	0.116805
189	0.10206	0	0.37	0.417114	0	0.173653	0.720123	0	0	0	0.242103	0.243608	0.114943
190	0.1026	0	0.37	0.415318	0	0.171276	0.712589	0	0	0	0.240399	0.24153	0.113131
191	0.10314	0	0.37	0.413465	0	0.16885	0.704942	0	0	0	0.2387	0.239461	0.111375
192	0.10368	0	0.37	0.411552	0	0.166377	0.697189	0	0	0	0.237007	0.237411	0.109673
193	0.10422	0	0.37	0.409574	0	0.16386	0.689337	0	0	0	0.235326	0.235377	0.108024
194	0.10476	0	0.37	0.407528	0	0.161303	0.681389	0	0	0	0.233651	0.233357	0.10643
195	0.1053	0	0.37	0.405415	0	0.158708	0.673353	0	0	0	0.231986	0.231357	0.104891
196	0.10584	0	0.37	0.403234	0	0.156081	0.665234	0	0	0	0.230334	0.229378	0.1034
197	0.10638	0	0.37	0.40099	0	0.153424	0.657034	0	0	0	0.228691	0.227416	0.101963
198	0.10692	0	0.37	0.398686	0	0.150738	0.648759	0	0	0	0.227061	0.225474	0.100577
199	0.10746	0	0.37	0.396325	0	0.148028	0.640419	0	0	0	0.225442	0.22355	0.0992404
200	0.108	0	0.37	0.393909	0	0.145299	0.632016	0	0	0	0.223834	0.221645	0.0979568
201	0.10854	0	0.37	0.391444	0	0.142551	0.623551	0	0	0	0.222239	0.21976	0.0967188
202	0.10908	0	0.37	0.388935	0	0.139788	0.615032	0	0	0	0.220653	0.217893	0.0955264
203	0.10962	0	0.37	0.386386	0	0.137015	0.606468	0	0	0	0.219079	0.216041	0.0943794
204	0.11016	0	0.37	0.383802	0	0.134235	0.597857	0	0	0	0.217516	0.214209	0.0932758
205	0.1107	0	0.37	0.381187	0	0.131448	0.589205	0	0	0	0.215963	0.212394	0.0922174
206	0.11124	0	0.37	0.378547	0	0.12866	0.580519	0	0	0	0.214419	0.210591	0.0911951
207	0.11178	0	0.37	0.375886	0	0.125873	0.571799	0	0	0	0.212883	0.208805	0.0902146
208	0.11232	0	0.37	0.373209	0	0.12309	0.563054	0	0	0	0.211354	0.207035	0.0892704
209	0.11286	0	0.37	0.37052	0	0.120314	0.554285	0	0	0	0.209831	0.205276	0.0883591
210	0.1134	0	0.37	0.367822	0	0.117548	0.545494	0	0	0	0.208314	0.203524	0.0874813
211	0.11394	0	0.37	0.365122	0	0.114796	0.536693	0	0	0	0.206801	0.201781	0.0866317
212	0.11448	0	0.37	0.362421	0	0.112059	0.527879	0	0	0	0.205289	0.20005	0.0858129
213	0.11502	0	0.37	0.359724	0	0.10934	0.519054	0	0	0	0.203782	0.198325	0.0850198
214	0.11556	0	0.37	0.357032	0	0.106642	0.510229	0	0	0	0.202276	0.196605	0.0842496
215	0.1161	0	0.37	0.354351	0	0.103967	0.501405	0	0	0	0.200769	0.194893	0.083503
216	0.11664	0	0.37	0.351682	0	0.101319	0.492583	0	0	0	0.199259	0.193185	0.0827772
217	0.11718	0	0.37	0.349028	0	0.0986999	0.483767	0	0	0	0.197747	0.191476	0.0820713
218	0.11772	0	0.37	0.346391	0	0.0961105	0.474964	0	0	0	0.19623	0.189768	0.0813808
219	0.11826	0	0.37	0.343774	0	0.0935543	0.466175	0	0	0	0.194709	0.188061	0.0807031
220	0.1188	0	0.37	0.341178	0	0.0910338	0.457405	0.00329509	0	0	0.193184	0.18635	0.0800414
221	0.11934	0	0.37	0.338605	0	0.0885506	0.448655	0.014738	0	0	0.191649	0.184633	0.0793984
222	0.11988	0	0.37	0.336056	0	0.0861085	0.439933	0.0259726	0	0	0.190106	0.182911	0.0788005
223	0.12042	0	0.37	0.333528	0	0.0837152	0.431253	0.0369568	0	0	0.188555	0.181188	0.0782711
224	0.12096	0	0.37	0.331014	0	0.0813815	0.422627	0.0476525	0.0015247	0	0.186996	0.17946	0.0778038
225	0.1215	0	0.37	0.328511	0	0.0791184	0.414073	0.0580187	0.00764614	0	0.185428	0.177726	0.077396
226	0.12204	0	0.37	0.326013	0	0.0769349	0.405611	0.0680094	0.0136075	0	0.183852	0.175986	0.0770436
