TimeSlice	Time	bicepsfemorisposterior	gemellussuperior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
80	0.0432	0.042867	0.00678013	0.0283388	0.0322098	0.0145806	0.0455693	0.0341462	0.0403641	0.0466808	0.0363371	0.0412262	0.0399938
81	0.04374	0.0428645	0.00678007	0.028337	0.032208	0.0145812	0.0455702	0.0341442	0.0403615	0.0466845	0.0363372	0.0412262	0.0399931
82	0.04428	0.0428624	0.00678001	0.0283355	0.0322067	0.0145818	0.0455709	0.0341428	0.0403593	0.046689	0.0363372	0.0412262	0.0399925
83	0.04482	0.0428609	0.00677997	0.0283344	0.0322058	0.0145821	0.0455714	0.0341418	0.0403577	0.0466942	0.0363372	0.0412262	0.0399919
84	0.04536	0.0428598	0.00677994	0.0283337	0.0322054	0.0145824	0.0455717	0.0341413	0.0403566	0.0467002	0.0363372	0.0412263	0.0399913
85	0.0459	0.0428593	0.00677993	0.0283333	0.0322053	0.0145825	0.0455719	0.0341413	0.0403561	0.0467069	0.0363373	0.0412263	0.0399907
86	0.04644	0.0428592	0.00677993	0.0283333	0.0322057	0.0145825	0.0455719	0.0341419	0.040356	0.0467144	0.0363373	0.0412263	0.0399901
87	0.04698	0.0428596	0.00677995	0.0283336	0.0322065	0.0145823	0.0455717	0.0341429	0.0403564	0.0467225	0.0363373	0.0412263	0.0399895
88	0.04752	0.0428605	0.00677998	0.0283343	0.0322077	0.014582	0.0455713	0.0341444	0.0403573	0.0467314	0.0363374	0.0412263	0.039989
89	0.04806	0.0428619	0.00678002	0.0283353	0.0322093	0.0145816	0.0455708	0.0341463	0.0403587	0.046741	0.0363374	0.0412263	0.0399884
90	0.0486	0.0428638	0.00678008	0.0283366	0.0322112	0.0145811	0.0455701	0.0341488	0.0403606	0.0467513	0.0363374	0.0412264	0.0399878
91	0.04914	0.0428661	0.00678015	0.0283383	0.0322136	0.0145804	0.0455692	0.0341516	0.0403629	0.0467623	0.0363374	0.0412264	0.0399873
