TimeSlice	Time	LH_BicepsFemorisPosterior	LH_TensorFasciaLatae	neur2	LH_BicepsFemorisPosterior
411	0.22194	0.0457129	87.5898	-0.059673	0.0105918
412	0.22248	0.0457129	87.5898	-0.0596757	0.0105918
413	0.22302	0.0457282	87.5893	-0.0596785	0.00940751
414	0.22356	0.0457282	87.5893	-0.0596811	0.00940751
415	0.2241	0.0457282	87.5893	-0.0596838	0.00940751
416	0.22464	0.0457432	87.4623	-0.0596864	0.00931323
417	0.22518	0.0457432	87.4623	-0.0596891	0.00931323
418	0.22572	0.0457432	87.4623	-0.0596917	0.00931323
419	0.22626	0.0457565	87.4618	-0.0596942	0.00817724
420	0.2268	0.0457565	87.4618	-0.0596968	0.00817724
421	0.22734	0.0457565	87.4618	-0.0596993	0.00817724
422	0.22788	0.045771	87.3391	-0.0597018	0.00895219
423	0.22842	0.045771	87.3391	-0.0597043	0.00895219
424	0.22896	0.045771	87.3391	-0.0597067	0.00895219
425	0.2295	0.0457843	87.3386	-0.0597091	0.00823933
426	0.23004	0.0457843	87.3386	-0.0597115	0.00823933
427	0.23058	0.0457843	87.3386	-0.0597139	0.00823933
428	0.23112	0.0457993	87.2118	-0.0597163	0.00920975
429	0.23166	0.0457993	87.2118	-0.0597186	0.00920975
430	0.2322	0.0457993	87.2118	-0.0597209	0.00920975
431	0.23274	0.0458138	87.2114	-0.0597232	0.00895219
432	0.23328	0.0458138	87.2114	-0.0597254	0.00895219
433	0.23382	0.0458138	87.2114	-0.0597276	0.00895219
434	0.23436	0.0458297	87.0756	-0.0597298	0.00981683
435	0.2349	0.0458297	87.0756	-0.059732	0.00981683
436	0.23544	0.0458297	87.0756	-0.0597342	0.00981683
437	0.23598	0.0458456	87.0752	-0.0597363	0.00984902
438	0.23652	0.0458456	87.0752	-0.0597384	0.00984902
439	0.23706	0.0458456	87.0752	-0.0597405	0.00984902
440	0.2376	0.0458628	86.9281	-0.0597425	0.0105987
441	0.23814	0.0458628	86.9281	-0.0597445	0.0105987
442	0.23868	0.0458628	86.9281	-0.0597465	0.0105987
443	0.23922	0.0458801	86.9276	-0.0597485	0.0107068
444	0.23976	0.0458801	86.9276	-0.0597504	0.0107068
445	0.2403	0.0458801	86.9276	-0.0597524	0.0107068
446	0.24084	0.0458987	86.7679	-0.0597543	0.0114564
