TimeSlice	Time	bicepsfemorisposterior	gracilisanterior	gracilisposterior	illiopsoas	rectusfemoris	semimembranosus	semitendinosus	tibialisanterior	vastusintermedius	vastuslateralis	vastusmedialis
198	0.10692	0	0	0	0.0742283	0.155656	0	0	0	0.0475615	0.0408939	0.0291421
199	0.10746	0	0	0	0.0742217	0.155082	0	0	0	0.0473757	0.0407389	0.0291372
200	0.108	0	0	0	0.074216	0.154516	0	0	0	0.0471915	0.0405821	0.0291306
201	0.10854	0	0	0	0.0742096	0.153961	0	0	0	0.0470122	0.0404252	0.0291277
202	0.10908	0	0	0	0.074204	0.153421	0	0	0	0.0468402	0.040279	0.0291194
203	0.10962	0	0	0	0.0741986	0.152889	0	0	0	0.0466694	0.040138	0.0291113
204	0.11016	0	0	0	0.0741922	0.152367	0	0	0	0.0465	0.0399983	0.0291071
205	0.1107	0	0	0	0.0741861	0.151861	0	0	0	0.046334	0.0398636	0.0291064
206	0.11124	0	0	0	0.0741816	0.151368	0	0	0	0.0461761	0.039732	0.0291039
207	0.11178	0	0	0	0.0741788	0.150879	0	0	0	0.0460192	0.0396015	0.0290995
208	0.11232	0	0	0	0.0741751	0.1504	0	0	0	0.0458656	0.0394758	0.0291006
209	0.11286	0	0	0	0.0741707	0.149932	0	0	0	0.0457175	0.0393547	0.029098
210	0.1134	0	0	0	0.0741666	0.149472	0	0	0	0.045569	0.0392363	0.0290971
211	0.11394	0	0	0	0.0741622	0.149027	0	0	0	0.0454259	0.0391188	0.0290979
212	0.11448	0	0	0	0.0741589	0.148591	0	0	0	0.0452858	0.039004	0.0290932
213	0.11502	0	0	0	0.0741558	0.148162	0	0	0	0.0451497	0.0388935	0.0290903
214	0.11556	0	0	0	0.0741514	0.147741	0	0	0	0.0450177	0.0387855	0.0290892
215	0.1161	0	0	0	0.0741473	0.147329	0	0	0	0.0448872	0.0386817	0.0290881
216	0.11664	0	0	0	0.0741452	0.146927	0	0	0	0.0447594	0.0385803	0.0290868
217	0.11718	0	0	0	0.0741427	0.146534	0	0	0	0.0446355	0.0384812	0.0290855
218	0.11772	0	0	0	0.0741404	0.146148	0	0	0	0.0445141	0.0383842	0.0290841
219	0.11826	0	0	0	0.0741377	0.14577	0	0	0	0.0443918	0.0382895	0.0290827
220	0.1188	0	0	0	0.0741352	0.1454	0	0	0	0.0442754	0.038195	0.029083
221	0.11934	0	0	0	0.0741314	0.145037	0	0	0	0.0441603	0.0381027	0.0290832
222	0.11988	0	0	0	0.0741278	0.144681	0	0	0	0.0440477	0.038016	0.0290814
223	0.12042	0	0	0	0.0741253	0.144335	0	0	0	0.0439396	0.0379313	0.0290796
224	0.12096	0	0	0	0.0741228	0.143994	0	0	0	0.0438338	0.0378484	0.0290831
225	0.1215	0	0	0	0.0741233	0.143663	0	0	0	0.0437313	0.0377692	0.0290846
226	0.12204	0	0	0	0.0741223	0.143341	0	0	0	0.0436275	0.0376918	0.0290823
227	0.12258	0	0	0	0.07412	0.143019	0	0	0	0.043527	0.0376143	0.0290836
228	0.12312	0	5.45591e-008	0	0.0741179	0.142708	0	0	0	0.0434308	0.0375403	0.0290847
229	0.12366	0	0	0	0.0741158	0.142403	0	0	0	0.0433367	0.0374679	0.0290838
230	0.1242	0	7.78744e-007	0	0.0741143	0.142107	0	0	0	0.0432433	0.0373972	0.0290865
231	0.12474	0	1.81459e-006	0	0.0741129	0.141816	0	0	0	0.0431507	0.0373316	0.0290889
232	0.12528	0	7.64427e-007	0	0.0741124	0.141527	0	0	0	0.0430624	0.0372639	0.0290894
233	0.12582	0	1.80194e-006	0	0.0741106	0.141246	0	0	0	0.0429758	0.037194	0.0290897
234	0.12636	0	2.71722e-006	0	0.0741085	0.140972	0	0	0	0.0428933	0.0371293	0.0290899
235	0.1269	0	3.52467e-006	0	0.0741078	0.140706	0	0	0	0.0428102	0.0370697	0.0290917
236	0.12744	0	4.62978e-006	0	0.0741076	0.140445	0	0	0	0.0427266	0.0370113	0.0290952
237	0.12798	0	4.8191e-006	0	0.0741073	0.140186	0	0	0	0.0426481	0.0369524	0.0290966
238	0.12852	0	5.37891e-006	0	0.0741053	0.139936	0	0	0	0.0425712	0.0368949	0.0290924
239	0.12906	0	5.87276e-006	0	0.0741034	0.139691	0	0	0	0.0424982	0.0368403	0.0290938
240	0.1296	0	6.30842e-006	0	0.0741043	0.13945	0	0	0	0.0424255	0.0367852	0.0291003
241	0.13014	0	6.69275e-006	0	0.0741029	0.139216	0	0	0	0.042352	0.0367367	0.0291029
242	0.13068	0	8.21018e-006	0	0.0741007	0.138986	0	0	0	0.0422812	0.0366892	0.0291034
243	0.13122	0	8.76324e-006	0	0.0740994	0.138761	0	0	0	0.0422118	0.0366356	0.029102
