TimeSlice	Time	neur1	neur2	neur3	neur4	neur5	neur6
283	0.0566	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
284	0.0568	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
285	0.057	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
286	0.0572	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
287	0.0574	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
288	0.0576	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
289	0.0578	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
290	0.058	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
291	0.0582	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
292	0.0584	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
293	0.0586	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
294	0.0588	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
295	0.059	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
296	0.0592	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
297	0.0594	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
298	0.0596	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
299	0.0598	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
300	0.06	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
301	0.0602	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
302	0.0604	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
303	0.0606	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
304	0.0608	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
305	0.061	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
306	0.0612	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
307	0.0614	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
308	0.0616	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
309	0.0618	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
310	0.062	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
311	0.0622	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
312	0.0624	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
313	0.0626	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
314	0.0628	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
315	0.063	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
316	0.0632	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
317	0.0634	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
318	0.0636	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
319	0.0638	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
320	0.064	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
321	0.0642	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
322	0.0644	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
323	0.0646	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
324	0.0648	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
325	0.065	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
326	0.0652	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
327	0.0654	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
328	0.0656	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
329	0.0658	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
330	0.066	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
331	0.0662	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
332	0.0664	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
333	0.0666	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
334	0.0668	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
335	0.067	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
336	0.0672	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
337	0.0674	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
338	0.0676	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
339	0.0678	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
340	0.068	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
341	0.0682	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
342	0.0684	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
343	0.0686	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
344	0.0688	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
345	0.069	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
346	0.0692	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
347	0.0694	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
348	0.0696	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
349	0.0698	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
350	0.07	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
351	0.0702	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
352	0.0704	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
353	0.0706	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
354	0.0708	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
355	0.071	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
356	0.0712	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
357	0.0714	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
358	0.0716	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
359	0.0718	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
360	0.072	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
361	0.0722	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
362	0.0724	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
363	0.0726	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
364	0.0728	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
365	0.073	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
366	0.0732	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
367	0.0734	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
368	0.0736	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
369	0.0738	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
370	0.074	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
371	0.0742	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
372	0.0744	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
373	0.0746	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
374	0.0748	-0.06	-0.06	-0.06	-0.06	-0.06	-0.06
