TimeSlice	Time	LH_AnkleZ	LH_Knee	LH_HipZ
444	0.23976	-0.539685	-0.25006	-0.91019
445	0.2403	-0.539971	-0.250346	-0.909992
446	0.24084	-0.540258	-0.250632	-0.909795
447	0.24138	-0.540545	-0.250919	-0.909596
448	0.24192	-0.540833	-0.251205	-0.909398
449	0.24246	-0.541121	-0.251491	-0.909199
450	0.243	-0.54141	-0.251778	-0.909
451	0.24354	-0.5417	-0.252064	-0.9088
452	0.24408	-0.54199	-0.252351	-0.9086
453	0.24462	-0.542281	-0.252638	-0.908399
454	0.24516	-0.542572	-0.252924	-0.908198
455	0.2457	-0.542864	-0.253211	-0.907997
456	0.24624	-0.543157	-0.253498	-0.907795
457	0.24678	-0.54345	-0.253785	-0.907593
458	0.24732	-0.543744	-0.254072	-0.90739
459	0.24786	-0.544038	-0.254358	-0.907187
460	0.2484	-0.544333	-0.254645	-0.906984
461	0.24894	-0.544629	-0.254932	-0.90678
462	0.24948	-0.544925	-0.255219	-0.906576
463	0.25002	-0.545222	-0.255506	-0.906371
464	0.25056	-0.545519	-0.255793	-0.906166
465	0.2511	-0.545817	-0.25608	-0.905961
466	0.25164	-0.546115	-0.256367	-0.905755
467	0.25218	-0.546414	-0.256654	-0.905549
468	0.25272	-0.546714	-0.256941	-0.905342
469	0.25326	-0.547014	-0.257228	-0.905135
470	0.2538	-0.547314	-0.257515	-0.904927
471	0.25434	-0.547616	-0.257803	-0.904719
472	0.25488	-0.547917	-0.25809	-0.904511
473	0.25542	-0.54822	-0.258377	-0.904302
474	0.25596	-0.548523	-0.258664	-0.904093
475	0.2565	-0.548826	-0.258951	-0.903884
476	0.25704	-0.54913	-0.259238	-0.903674
477	0.25758	-0.549434	-0.259525	-0.903463
478	0.25812	-0.549739	-0.259812	-0.903252
479	0.25866	-0.550045	-0.260099	-0.903041
480	0.2592	-0.550351	-0.260386	-0.90283
481	0.25974	-0.550658	-0.260674	-0.902618
482	0.26028	-0.550965	-0.260961	-0.902405
483	0.26082	-0.551273	-0.261248	-0.902192
484	0.26136	-0.551581	-0.261535	-0.901979
485	0.2619	-0.55189	-0.261822	-0.901765
486	0.26244	-0.552199	-0.262109	-0.901551
487	0.26298	-0.552509	-0.262396	-0.901337
488	0.26352	-0.552819	-0.262683	-0.901122
489	0.26406	-0.55313	-0.26297	-0.900906
490	0.2646	-0.553441	-0.263257	-0.900691
491	0.26514	-0.553753	-0.263544	-0.900474
492	0.26568	-0.554065	-0.263831	-0.900258
493	0.26622	-0.554378	-0.264118	-0.900041
494	0.26676	-0.554691	-0.264405	-0.899823
495	0.2673	-0.555005	-0.264691	-0.899605
496	0.26784	-0.555319	-0.264978	-0.899387
497	0.26838	-0.555634	-0.265265	-0.899168
498	0.26892	-0.55595	-0.265551	-0.898949
499	0.26946	-0.556265	-0.265838	-0.89873
500	0.27	-0.556581	-0.266125	-0.89851
501	0.27054	-0.556898	-0.266411	-0.89829
502	0.27108	-0.557215	-0.266698	-0.898069
503	0.27162	-0.557533	-0.266984	-0.897848
504	0.27216	-0.557851	-0.26727	-0.897626
505	0.2727	-0.55817	-0.267557	-0.897404
506	0.27324	-0.558489	-0.267843	-0.897182
507	0.27378	-0.558809	-0.268129	-0.896959
508	0.27432	-0.559129	-0.268415	-0.896735
509	0.27486	-0.559449	-0.268701	-0.896512
510	0.2754	-0.55977	-0.268988	-0.896288
511	0.27594	-0.560091	-0.269273	-0.896063
512	0.27648	-0.560413	-0.269559	-0.895838
513	0.27702	-0.560736	-0.269845	-0.895613
514	0.27756	-0.561058	-0.270131	-0.895387
515	0.2781	-0.561382	-0.270417	-0.89516
516	0.27864	-0.561705	-0.270702	-0.894934
517	0.27918	-0.562029	-0.270988	-0.894707
518	0.27972	-0.562354	-0.271273	-0.894479
519	0.28026	-0.562679	-0.271559	-0.894251
520	0.2808	-0.563004	-0.271844	-0.894023
521	0.28134	-0.56333	-0.272129	-0.893794
522	0.28188	-0.563656	-0.272414	-0.893565
523	0.28242	-0.563983	-0.272699	-0.893335
524	0.28296	-0.56431	-0.272984	-0.893105
525	0.2835	-0.564638	-0.273269	-0.892875
526	0.28404	-0.564966	-0.273554	-0.892644
527	0.28458	-0.565294	-0.273839	-0.892413
528	0.28512	-0.565623	-0.274123	-0.892181
529	0.28566	-0.565952	-0.274408	-0.891949
530	0.2862	-0.566282	-0.274692	-0.891716
531	0.28674	-0.566612	-0.274976	-0.891483
532	0.28728	-0.566942	-0.275261	-0.89125
533	0.28782	-0.567273	-0.275545	-0.891016
534	0.28836	-0.567604	-0.275829	-0.890781
535	0.2889	-0.567936	-0.276113	-0.890547
536	0.28944	-0.568267	-0.276396	-0.890312
537	0.28998	-0.5686	-0.27668	-0.890076
538	0.29052	-0.568933	-0.276964	-0.88984
539	0.29106	-0.569266	-0.277247	-0.889603
540	0.2916	-0.569599	-0.27753	-0.889367
541	0.29214	-0.569933	-0.277814	-0.889129
542	0.29268	-0.570267	-0.278097	-0.888892
543	0.29322	-0.570602	-0.27838	-0.888653
544	0.29376	-0.570937	-0.278662	-0.888415
545	0.2943	-0.571273	-0.278945	-0.888176
546	0.29484	-0.571608	-0.279228	-0.887936
547	0.29538	-0.571945	-0.27951	-0.887697
548	0.29592	-0.572281	-0.279793	-0.887456
549	0.29646	-0.572618	-0.280075	-0.887215
550	0.297	-0.572955	-0.280357	-0.886974
551	0.29754	-0.573293	-0.280639	-0.886733
